proxy_wallet,bot_score,cluster,kmeans,operator_id,operator_size,c_cadence_regularity,c_activity_247,c_size_regularity,c_breadth,c_burstiness,c_reaction,n_trades,active_hours,cv_gap,breadth_markets,max_trades_per_sec,reaction_alignment,realized_pnl_usdc,volume_usdc,roi_on_resolved,fill_win_rate
0x8f34e45fe06d6fad7d9d9d2738859a4022c02f50,0.48173076923076924,1,1,,,0.0,0.75,0.21153846153846154,1.0,0.6666666666666666,0.0,52,18,1.3215687647394025,35,2,0.2727,39.12,315.72,0.1239,0.3654
0x0b4274f118eefeb3304ad5d8195a5876cc7d9fc4,0.4813218390804598,-1,1,op_001,146.0,0.0,0.3333333333333333,0.43103448275862066,1.0,1.0,0.0,116,8,1.4407219383778365,54,10,0.0,14.2,112.85,0.1259,0.1034
0xb9fd687edbc9ae7a58bf69d0a6fff2aba75e5c4f,0.4811761290322581,1,1,,,0.0,0.75,0.0967741935483871,1.0,0.3333333333333333,0.6666000000000001,31,18,1.8172973815160511,18,1,0.8333,-34.21,314.19,-0.1089,0.4839
0x36f491aea4e690d2f6dc9034f26018ba99907518,0.48095238095238096,-1,0,,,0.0,0.4583333333333333,0.9285714285714286,1.0,0.3333333333333333,0.0,98,11,3.5404753836409313,87,1,,83.36,1091.34,0.0764,0.8878
0x8fe730b55cf3468c01a884cfcde79c2dfb4d6c1f,0.4807364227642276,1,1,op_001,146.0,0.0,0.3333333333333333,0.17073170731707318,1.0,1.0,0.38460000000000005,41,8,2.446182003365025,22,5,0.6923,16.79,113.79,0.1505,0.725
0x5979182591e96746ad0f297c581779cc463298b7,0.48030303030303034,1,1,,,0.0,0.5833333333333334,0.09090909090909091,1.0,1.0,0.0,33,14,1.4942332951135104,20,3,1.0,-15.87,38.22,-0.4154,0.303
0x68375b8cd026ad970a748c3f385c15e4772e1108,0.47987804878048784,1,1,,,0.0,0.875,0.36585365853658536,1.0,0.3333333333333333,0.0,41,21,2.611284822614304,31,1,1.0,6.63,219.29,0.0316,0.8718
0x83f7aacb9d9abbf4f43a669b0f320a55d8c91907,0.4797101449275363,1,1,op_001,146.0,0.0,0.5833333333333334,0.08695652173913043,1.0,1.0,0.0,46,14,2.383347602225342,19,4,,3.58,46.0,0.0778,0.913
0xc784133a3edc82f20a439db145163e10e82f4802,0.4796184738955824,-1,0,,,0.0,0.9583333333333334,0.25301204819277107,1.0,0.3333333333333333,0.0,83,23,4.610104436082891,80,1,1.0,7.85,736.54,0.0107,0.9634
0x805ad654147e0e8f0aaf5171a73e974290a2ff74,0.4794715447154472,1,1,,,0.0,0.8333333333333334,0.08536585365853659,1.0,0.6666666666666666,0.0,82,20,1.2850896769343758,62,2,0.0,11.03,709.28,0.0155,0.561
0x18f69ffc266b332747ac1884ce8d2487f770e980,0.47896174863387986,1,1,op_001,146.0,0.0,0.5833333333333334,0.08196721311475409,1.0,1.0,0.0,61,14,2.760163200357897,29,4,,-9.85,107.7,-0.0914,0.7541
0xff18d1a280fd1c90909b3b2057ef21ce64a5da47,0.4788288288288288,1,1,,,0.0,0.8333333333333334,0.08108108108108109,1.0,0.6666666666666666,0.0,111,20,2.455799990853608,19,2,,-47.24,304.12,-0.1553,0.4685
0x63bd7d6059c4f685161be9330633db1cd7fa3480,0.47840136054421767,1,1,op_002,4.0,0.0,0.7083333333333334,0.24489795918367346,1.0,0.6666666666666666,0.0,49,17,2.0227339847733967,13,2,1.0,-10.38,72.41,-0.1434,0.2041
0xf0aaa9c44b5e0a9c5577a7550a354e2d336af7e3,0.4783333333333333,1,1,,,0.0,0.7916666666666666,0.13333333333333333,1.0,0.6666666666666666,0.0,45,19,1.8131049934755792,24,2,0.6667,-17.28,41.64,-0.415,0.2889
0xcd61f09589d18d75d7589fa368cafa05413202d4,0.47826241134751774,1,1,op_001,146.0,0.0,0.8333333333333334,0.010638297872340425,1.0,0.3333333333333333,0.6000000000000001,188,20,3.3175475153818543,23,1,0.8,-85.95,608.11,-0.1413,0.5106
0xd61739483381a47fc66b32c47a31acb5ad2d9472,0.478125,1,1,,,0.0,0.5,0.1875,1.0,1.0,0.0,32,12,2.6001175053641856,27,4,0.5,-0.46,17.27,-0.0268,0.9375
0x7ae4b06fca9162214525cf4c592b21dc6153fc82,0.47773,1,1,,,0.0,0.625,0.175,1.0,0.3333333333333333,0.7647999999999999,40,15,1.8620511186367723,18,1,0.8824,-410.51,1567.41,-0.2619,0.425
0x044f334595a7fd42c143e11c8ec47f23c8d1d1f1,0.47734375,1,1,,,0.0,1.0,0.18229166666666666,1.0,0.3333333333333333,0.0,192,24,3.3383111585620466,36,1,0.0,460.72,3560.67,0.1515,0.6792
0x2efb1ccd26217d96afe566efa1313c8a436f04af,0.4772357723577236,1,1,,,0.0,0.6666666666666666,0.2926829268292683,1.0,0.6666666666666666,0.0,41,16,1.818687814256724,41,2,0.0,-24.28,24.28,-1.0,0.0
0x75b95d8635993f0cb9972e6e194dd09403a10893,0.4769607843137255,1,1,,,0.0,0.7083333333333334,0.23529411764705882,1.0,0.6666666666666666,0.0,51,17,4.181748614365096,9,2,0.1818,-48.28,147.66,-0.327,0.3725
0xc24f7c8d102dabaf7d13b09fdafa9833f71081d3,0.4769230769230769,1,1,,,0.0,0.75,0.1794871794871795,1.0,0.6666666666666666,0.0,39,18,2.040993014191729,18,2,0.0,-97.77,748.72,-0.1306,0.8462
0x35c4316574a4649865095ee9fe0c206005f6d144,0.4764047619047619,1,1,,,0.0,0.5416666666666666,0.10714285714285714,1.0,0.6666666666666666,0.52,56,13,3.338188571274741,32,2,0.76,111.75,1112.87,0.1028,0.7885
0x3322017634bbeb291a9b6feb889e6393cac87dc2,0.4757183908045977,1,1,,,0.0,0.8333333333333334,0.0603448275862069,1.0,0.6666666666666666,0.0,116,20,2.5240148672114704,12,2,,85.11,1148.21,0.0741,0.4655
0x4ab62355a650a53bb1a363ec4f566477cef775b5,0.4754452302025783,1,1,,,0.0,0.9583333333333334,0.049723756906077346,1.0,0.3333333333333333,0.2632000000000001,181,23,4.111488124168526,74,1,0.6316,158.36,536.87,0.295,0.9669
0x48836cb45f746f2c5fedf84c4fe7402a236470aa,0.4752347417840376,1,1,,,0.0,0.7916666666666666,0.11267605633802817,1.0,0.6666666666666666,0.0,71,19,1.6182712114417825,51,2,0.1667,4.53,94.01,0.0509,0.7121
0xd72de00913a8b60ece5a1a40eac0bb172d209e9e,0.4751103752759382,1,1,op_006,12.0,0.0,0.8333333333333334,0.056291390728476824,1.0,0.6666666666666666,0.0,302,20,4.286511963870463,54,2,0.0,5.17,304.05,0.017,0.9007
0x47e9c1e3a3d7aa76b22b13d5ebd46d82ddac732c,0.475,-1,1,,,0.0,0.5,0.5,1.0,0.6666666666666666,0.0,78,12,4.240865456248202,8,2,0.0,2.59,565.08,0.0077,0.9762
0x885f5610bc4a433a0bf6b360e098ebefa7227bf9,0.4748901098901099,1,1,,,0.0,0.875,0.06593406593406594,1.0,0.3333333333333333,0.3999999999999999,91,21,1.7443942512936235,50,1,0.7,12.21,465.9,0.0286,0.4762
0x3d7d0ba6c4cb6608e9b2ae9a7c6b4d822c6510fc,0.47482269503546104,1,1,op_001,146.0,0.0,0.4166666666666667,0.2765957446808511,1.0,1.0,0.0,47,10,2.97711988785241,30,7,0.375,0.49,632.25,0.0008,0.7447
